EventID,EventName,EventType,Date,StartTime,EndTime,Location,Capacity,ActualAttendance,Weather_Condition,Promotion_Type
1162,Indoor Climbing Competition,Sports,2033-02-06,08:00:00,18:00:00,Climbing Gym,200,180,Clear Skies,Climbing Club Emails
1163,Cultural Dance Showcase,Dance,2033-02-27,13:00:00,17:00:00,Theater,300,250,Overcast,Community Centers
1164,Pi Day Pie Eating Contest,Food & Drink,2033-03-14,14:00:00,16:00:00,Restaurant,50,40,Partly Cloudy,Social Media
1165,Board Game Tournament,Entertainment,2033-04-04,10:00:00,18:00:00,Gaming Cafe,100,85,Sunny,Online Gaming Forums
1166,Eco-Friendly Craft Fair,Shopping,2033-04-25,11:00:00,17:00:00,Park,150,125,Clear Skies,Environmental Nonprofits
1167,Tai Chi in the Park,Wellness,2033-05-16,09:00:00,10:00:00,City Park,75,65,Partly Cloudy,Community Center Flyers
1168,Dog Frisbee Competition,Pets,2033-06-06,11:00:00,15:00:00,Sports Complex,200,175,Sunny,Pet Store Promos
1169,Father's Day Car Show,Exhibition,2033-06-19,10:00:00,16:00:00,Downtown Streets,300,250,Clear Skies,Auto Enthusiast Clubs
1170,Summer Solstice Celebration,Festival,2033-06-21,18:00:00,22:00:00,Open Field,500,425,Partly Cloudy,Spiritual Group Emails
1171,Stand Up Paddleboard Yoga,Wellness,2033-07-12,07:00:00,09:00:00,Lake,40,30,Sunny,Yoga Studio Promotions
1172,Neon 5K Night Run,Fitness,2033-07-30,20:00:00,23:00:00,City Streets,1500,1300,Clear Skies,Corporate Wellness Programs
1173,Beach Volleyball Tournament,Sports,2033-08-20,09:00:00,17:00:00,Beach,200,175,Partly Cloudy,Local Sports Leagues
1174,Wine & Cheese Festival,Food & Drink,2033-09-10,12:00:00,18:00:00,Winery,500,450,Sunny,Targeted Facebook Ads
1175,Charity Deep Sea Fishing Tournament,Fundraiser,2033-10-01,06:00:00,16:00:00,Marina,100,85,Clear Skies,Nonprofit Website
1176,Pumpkin Carving Party,Seasonal,2033-10-22,14:00:00,17:00:00,Community Center,75,60,Partly Cloudy,School Flyers
1177,Dia de los Muertos Festival,Cultural,2033-11-02,11:00:00,20:00:00,City Park,1000,850,Sunny,Spanish Radio Ads
1178,Thanksgiving Day Turkey Trot,Fitness,2033-11-24,08:00:00,11:00:00,City Streets,2000,1800,Clear Skies,Corporate Wellness Challenges
1179,Black Friday Outdoor Market,Shopping,2033-11-25,09:00:00,17:00:00,Downtown Plaza,200,175,Overcast,Local Business Promotions
1180,Gingerbread House Contest,Seasonal,2033-12-17,12:00:00,16:00:00,Mall,100,90,Partly Cloudy,Mall Retailers
1181,Boxing Day Sale,Shopping,2033-12-26,07:00:00,22:00:00,Shopping District,5000,4500,Clear Skies,TV Commercials
1182,New Year's Day Polar Plunge,Fundraiser,2034-01-01,12:00:00,14:00:00,Lake,300,250,Sunny,Charity Website
1183,Beginner's Knitting Class,Educational,2034-01-22,13:00:00,16:00:00,Craft Store,20,15,Partly Cloudy,In-Store Flyers
1184,Indoor Rock Climbing Competition,Sports,2034-02-12,09:00:00,18:00:00,Climbing Gym,150,130,Clear Skies,Climbing Blogs
1185,Backyard Chicken Raising Seminar,Educational,2034-03-05,10:00:00,13:00:00,Feed Store,40,30,Overcast,Farming Magazines
1186,St. Patrick's Day Parade,Holiday,2034-03-17,10:00:00,13:00:00,City Streets,5000,4000,Partly Cloudy,Radio Promotions
1187,Spring Wildflower Walk,Nature,2034-04-08,09:00:00,11:00:00,Nature Preserve,75,65,Sunny,Environmental Groups
1188,Bunny Hop 5K Run,Fitness,2034-04-22,08:00:00,11:00:00,City Park,1000,900,Clear Skies,Corporate Wellness Programs
1189,Spring Garden Tour,Home & Garden,2034-05-13,10:00:00,16:00:00,Residential Area,500,400,Partly Cloudy,Gardening Clubs
1190,Home Brewing Festival,Food & Drink,2034-06-03,12:00:00,20:00:00,Fairgrounds,1500,1200,Sunny,Beer Enthusiast Forums
1191,Summer Reading Kickoff Party,Educational,2034-06-24,11:00:00,15:00:00,Public Library,200,175,Clear Skies,School Newsletters
1192,July 4th Fireworks Show,Holiday,2034-07-04,20:00:00,22:00:00,City Park,10000,8000,Partly Cloudy,Local TV/Radio
1193,Sand Sculpture Contest,Arts,2034-07-22,09:00:00,16:00:00,Beach,100,80,Sunny,Art Gallery Emails
1194,Watermelon Eating Contest,Food & Drink,2034-08-12,14:00:00,16:00:00,Park,200,175,Clear Skies,Social Media Contests
1195,Outdoor Movie Night,Entertainment,2034-09-02,20:00:00,22:30:00,Amphitheater,500,425,Partly Cloudy,Local Newspaper Listings
1196,Oktoberfest Beer Festival,Food & Drink,2034-09-23,12:00:00,20:00:00,Beer Garden,2000,1800,Sunny,Radio Ads
1197,Pumpkin Patch & Hayrides,Seasonal,2034-10-14,10:00:00,17:00:00,Farm,1000,900,Partly Cloudy,Fall Festival Guides
1198,Haunted House & Carnival,Seasonal,2034-10-28,18:00:00,23:00:00,Fairgrounds,3000,2500,Clear Skies,TV Commercials
1199,Diwali Festival of Lights,Cultural,2034-11-18,16:00:00,22:00:00,City Park,2000,1700,Overcast,Indian Community Outreach
1200,Turkey Trot 5K,Fitness,2034-11-23,09:00:00,11:00:00,City Streets,2500,2200,Partly Cloudy,Corporate Wellness Programs
1201,Black Friday Midnight Madness Sale,Shopping,2034-11-24,00:00:00,06:00:00,Mall,5000,4000,Clear Skies,TV/Radio Ads
1202,Holiday Craft Fair,Shopping,2034-12-09,10:00:00,17:00:00,Convention Center,200,175,Snowy,Local Craft Stores
1203,Ugly Sweater Pub Crawl,Entertainment,2034-12-16,18:00:00,23:00:00,Downtown Bars,500,450,Partly Cloudy,Local Bar Promotions
1204,Christmas Tree Lighting,Holiday,2034-12-01,18:00:00,20:00:00,Town Square,2000,1800,Clear Skies,Community Newsletter
1205,Boxing Day Shopping Bash,Shopping,2034-12-26,08:00:00,21:00:00,Outlet Mall,3000,2700,Sunny,Radio Ads
1206,Hot Chocolate Run 5K,Fitness,2035-01-13,09:00:00,11:00:00,City Park,1000,850,Partly Cloudy,Corporate Wellness Challenges
1207,Burns Night Supper,Cultural,2035-01-25,19:00:00,22:00:00,Scottish Club,100,85,Clear Skies,Scottish Cultural Groups
1208,Chili Cook-Off,Food & Drink,2035-02-10,11:00:00,16:00:00,City Park,300,250,Overcast,Local Restaurant Promotions
1209,Mardi Gras Masquerade Ball,Entertainment,2035-02-24,20:00:00,02:00:00,Hotel Ballroom,300,275,Partly Cloudy,Social Media Contests
1210,Spring Wildflower Walk,Nature,2035-03-17,09:00:00,11:00:00,Nature Preserve,75,65,Sunny,Environmental Groups
1211,Easter Egg Hunt,Holiday,2035-04-07,10:00:00,12:00:00,City Park,500,400,Clear Skies,Church Groups
1212,Earth Day Recycling Drive,Community,2035-04-22,09:00:00,15:00:00,School Parking Lot,1000,800,Partly Cloudy,School Green Clubs
1213,Arbor Day Tree Planting,Community,2035-05-05,10:00:00,13:00:00,City Park,100,80,Sunny,City Parks Department
1214,Cinco de Mayo Street Festival,Cultural,2035-05-05,12:00:00,22:00:00,Downtown Streets,5000,4500,Clear Skies,Hispanic Cultural Centers
1215,Mother's Day Craft Fair,Shopping,2035-05-12,10:00:00,17:00:00,Convention Center,200,175,Partly Cloudy,Local Boutiques
1216,Kids Triathlon,Sports,2035-06-02,08:00:00,12:00:00,City Park,200,175,Sunny,School Sports Clubs
1217,Summer Solstice Music Festival,Music,2035-06-21,16:00:00,23:00:00,Amphitheater,5000,4200,Clear Skies,Local Radio Stations
1218,4th of July Fireworks Spectacular,Holiday,2035-07-04,20:00:00,22:00:00,City Park,20000,18000,Partly Cloudy,TV Commercials
1219,Beach Volleyball Tournament,Sports,2035-07-21,10:00:00,16:00:00,Beach,100,90,Sunny,Local Recreation Centers
1220,Watermelon Eating Contest,Food & Drink,2035-08-11,13:00:00,16:00:00,Park,300,250,Clear Skies,Grocery Store Promotions
1221,Outdoor Zumba Party,Fitness,2035-09-01,18:00:00,20:00:00,City Plaza,200,180,Partly Cloudy,Gym Email Blasts
1222,Chili & Salsa Festival,Food & Drink,2035-09-22,11:00:00,18:00:00,Fairgrounds,2000,1800,Sunny,Local Restaurant Sponsors
1223,Pumpkin Carving Workshop,Seasonal,2035-10-13,14:00:00,17:00:00,Farm,100,85,Clear Skies,Fall Festival Guides
1224,Zombie Run 5K,Fitness,2035-10-27,19:00:00,22:00:00,City Streets,1500,1300,Partly Cloudy,Halloween Event Listings
